run,shift_mm,lift_mm,kp,kd,timing_scale,friction_scale,returncode,pass,reason,clearance_mm,support_margin_mm,roll_deg,pitch_deg,peak_torque_nm,tracking_error_rad,joint_rate_rad_s,touchdown_velocity_m_s,final_joint_error_rad
70,65,14,180,3.5,1.25,0.5,0,True,,7.060206692,90.67130059,0.4054576684,0.7215119541,9.893941234,0.05463379732,0.6358433803,-0.0007696879281,0.3663375867
71,65,14,180,3.5,1.25,1.0,0,True,,7.060206692,90.67130059,0.4054576684,0.7215119541,9.893941234,0.05463379732,0.6358433803,-0.0007696879281,0.3663375867
72,65,14,180,3.5,1.25,1.5,0,True,,8.467559285999998,88.71701383999999,0.6752048476,1.045397591,9.9111967,0.05474622922,0.5069070907,-0.001049787855,0.3672826537
73,65,15,140,2.5,0.75,0.5,0,True,,6.984000898,85.38110112,0.5282826299,0.9828207837,10.24886789,0.07346767429,0.8088331093,-0.01192440388,0.3725007255
74,65,15,140,2.5,0.75,1.0,0,True,,6.984000898,85.38110112,0.5282826299,0.9828207837,10.24886789,0.07346767429,0.8088331093,-0.01192440388,0.3725007255
75,65,15,140,2.5,0.75,1.5,0,True,,8.936173661,82.54354291,0.8171096348,1.376642581,10.40425389,0.07456768602,0.6532454079,-0.0006042526946,0.3738658987
76,65,15,140,2.5,1.0,0.5,0,True,,6.8449855930000005,85.45260391,0.5201711735,0.977463191,10.23133059,0.07273081389,0.8088331093,-0.0005325599017,0.3725042768
77,65,15,140,2.5,1.0,1.0,0,True,,6.8449855930000005,85.45260391,0.5201711735,0.977463191,10.23133059,0.07273081389,0.8088331093,-0.0005325599017,0.3725042768
78,65,15,140,2.5,1.0,1.5,0,True,,8.768121655,82.94478193,0.7985265406,1.346567617,10.26949403,0.07328938485,0.6532454079,-0.001261984747,0.3738656847
79,65,15,140,2.5,1.25,0.5,0,True,,6.826687766,85.43217414,0.5182146482,0.9780784064,10.23152608,0.07273203978,0.8088331093,-0.0007327929139,0.3725069283
80,65,15,140,2.5,1.25,1.0,0,True,,6.826687766,85.43217414,0.5182146482,0.9780784064,10.23152608,0.07273203978,0.8088331093,-0.0007327929139,0.3725069283
81,65,15,140,2.5,1.25,1.5,0,True,,8.67819714,83.07455675,0.7927815631,1.336692172,10.26940198,0.07300090873,0.6532454079,-0.0008850730112,0.3738669638
82,65,15,180,3.5,0.75,0.5,0,True,,8.09106672,90.48399274,0.4151071316,0.734274185,9.965915524,0.05565704379,0.6358433803,-0.01614535176,0.3663363665
83,65,15,180,3.5,0.75,1.0,0,True,,8.09106672,90.48399274,0.4151071316,0.734274185,9.965915524,0.05565704379,0.6358433803,-0.01614535176,0.3663363665
84,65,15,180,3.5,0.75,1.5,0,True,,9.695091115,88.29000085999999,0.6944598996,1.077240281,10.05546851,0.05618204338,0.5069070907,-0.003608322206,0.3672822991
85,65,15,180,3.5,1.0,0.5,0,True,,8.083486348,90.629282,0.4077537819,0.7245251342,9.89389373,0.05478328466,0.6358433803,-0.006852632265,0.3663374392
86,65,15,180,3.5,1.0,1.0,0,True,,8.083486348,90.629282,0.4077537819,0.7245251342,9.89389373,0.05478328466,0.6358433803,-0.006852632265,0.3663374392
87,65,15,180,3.5,1.0,1.5,0,True,,9.500021644,88.60698282,0.6800613472,1.05358915,9.911172326,0.05515630538,0.5069070907,-0.001288199709,0.3672821719
88,65,15,180,3.5,1.25,0.5,0,True,,8.057203974,90.67130059,0.4054576684,0.7215119541,9.893940158,0.05463378859,0.6358433803,-0.0007096949841,0.3663375534
89,65,15,180,3.5,1.25,1.0,0,True,,8.057203974,90.67130059,0.4054576684,0.7215119541,9.893940158,0.05463378859,0.6358433803,-0.0007096949841,0.3663375534
90,65,15,180,3.5,1.25,1.5,0,True,,9.470998214,88.71701383999999,0.6752048476,1.045397591,9.911195742,0.05474622922,0.5069070907,-0.001119241477,0.3672826854
91,65,16,140,2.5,0.75,0.5,0,True,,7.927836321,85.38110112,0.5282826299,0.9828207837,10.24886789,0.07346767429,0.8088331093,-0.01427001857,0.3725011692
92,65,16,140,2.5,0.75,1.0,0,True,,7.927836321,85.38110112,0.5282826299,0.9828207837,10.24886789,0.07346767429,0.8088331093,-0.01427001857,0.3725011692
93,65,16,140,2.5,0.75,1.5,0,True,,9.953167318,82.54354291,0.8171096348,1.376642581,10.40425389,0.07456768602,0.6532454079,-0.002872664101,0.3738655765
94,65,16,140,2.5,1.0,0.5,0,True,,7.849687852,85.45260391,0.5201711735,0.977463191,10.23132219,0.07273082943,0.8088331093,-0.0002838193818,0.3725035966
95,65,16,140,2.5,1.0,1.0,0,True,,7.849687852,85.45260391,0.5201711735,0.977463191,10.23132219,0.07273082943,0.8088331093,-0.0002838193818,0.3725035966
96,65,16,140,2.5,1.0,1.5,0,True,,9.749984493,82.94478193,0.7985265406,1.346567617,10.2695138,0.07328938485,0.6532454079,-0.001273072249,0.3738656159
97,65,16,140,2.5,1.25,0.5,0,True,,7.822199525,85.43217415,0.5182146482,0.9780784049,10.23150213,0.07273184579,0.8088331093,-0.0007249658885,0.3725067911
98,65,16,140,2.5,1.25,1.0,0,True,,7.822199525,85.43217415,0.5182146482,0.9780784049,10.23150213,0.07273184579,0.8088331093,-0.0007249658885,0.3725067911
99,65,16,140,2.5,1.25,1.5,0,True,,9.681831027,83.07455675,0.7927815631,1.336692172,10.26939817,0.07300091148,0.6532454079,-0.0009427699113,0.3738667541
100,65,16,180,3.5,0.75,0.5,0,True,,9.09261942,90.48399274,0.4151071316,0.734274185,9.965915524,0.05565704379,0.6358433803,-0.01946739436,0.3663362837
101,65,16,180,3.5,0.75,1.0,0,True,,9.09261942,90.48399274,0.4151071316,0.734274185,9.965915524,0.05565704379,0.6358433803,-0.01946739436,0.3663362837
102,65,16,180,3.5,0.75,1.5,0,True,,10.70276676,88.29000085999999,0.6944598996,1.077240281,10.05546851,0.05618204338,0.5069070907,-0.007345277578,0.3672828067
103,65,16,180,3.5,1.0,0.5,0,True,,9.084063901,90.629282,0.4077537819,0.7245251342,9.893882144,0.05478328466,0.6358433803,-0.01015869439,0.3663374107
104,65,16,180,3.5,1.0,1.0,0,True,,9.084063901,90.629282,0.4077537819,0.7245251342,9.893882144,0.05478328466,0.6358433803,-0.01015869439,0.3663374107
105,65,16,180,3.5,1.0,1.5,0,True,,10.48042615,88.60698282,0.6800613472,1.05358915,9.911176718,0.05515630538,0.5069070907,-0.001113617167,0.3672820415
106,65,16,180,3.5,1.25,0.5,0,True,,9.055828667,90.67130059,0.4054576684,0.7215119541,9.893939171,0.05463377526,0.6358433803,-0.0006080648913,0.3663375322
107,65,16,180,3.5,1.25,1.0,0,True,,9.055828667,90.67130059,0.4054576684,0.7215119541,9.893939171,0.05463377526,0.6358433803,-0.0006080648913,0.3663375322
108,65,16,180,3.5,1.25,1.5,0,True,,10.474399889999999,88.71701383999999,0.6752048476,1.045397591,9.911191083,0.05474622922,0.5069070907,-0.001196572809,0.3672826457
109,70,14,140,2.5,0.75,0.5,0,True,,8.310399850000001,79.03545371999999,0.6054464008,1.095187482,10.81798613,0.07762592318,0.8088331093,-0.01133572473,0.4022282084
